root_key,icon_file,concept_ja
spergh-,root-spergh.png,跳ぶ
stāi-,root-stai.png,石
sweid-1,root-sweid1.png,輝く
tel-,root-tel.png,地面
tres-,root-tres.png,震える
wadh-2,root-wadh2.png,行く
wers-,root-wers.png,混ぜる
wes-1,root-wes1.png,買う
wreg-,root-wreg.png,押す
dlegh-,root-dlegh.png,約束する
kā-,root-ka.png,好む
gāu-,root-gau.png,喜ぶ・畏れる
wekti-,root-wekti.png,物
(s)nēu-,root-sneu.png,腱
andho-,root-andho.png,暗い
arku-,root-arku.png,弓矢
at-al-,root-atal.png,族
bhasko-,root-bhasko.png,束
bhelgh-,root-bhelgh.png,膨らむ
bhreiə-,root-bhreie.png,壊す
bhrekʷ-,root-bhrekw.png,詰め込む
dheub-,root-dheub.png,深い
dhreu-,root-dhreu.png,滴る
ghebh-el-,root-ghebhel.png,頭
gras-,root-gras.png,貪る
gʷres-,root-gwres.png,太い
hūlē,root-hule.png,森
kems-,root-kems.png,宣言
kleng-,root-kleng.png,曲げる
kob-,root-kob.png,合う
kolə-mo-,root-kolemo.png,葦
kwēp-,root-kwep.png,蒸気
meuə-3,root-meue3.png,黙る
mezg-1,root-mezg1.png,浸す
mā-1,root-ma1.png,良い
neu-,root-neu.png,叫ぶ
ogʷhi-,root-ogwhi.png,蛇
op-2,root-op2.png,選ぶ
peis-1,root-peis1.png,押す
pek-2,root-pek2.png,梳く
seib-,root-seib.png,滴る
sel-3,root-sel3.png,掴む
sp(y)eu-,root-spyeu.png,吐く
spē-,root-spe.png,繁栄する
sweid-2,root-sweid2.png,汗
tak-2,root-tak2.png,取る
teng-,root-teng.png,浸る
teuə-1,root-teue1.png,見守る
udero-,root-udero.png,腹
weg-1,root-weg1.png,蜘蛛の巣張り
wel-4,root-wel4.png,裂く
welə-1,root-wele1.png,羊毛
wleik-,root-wleik.png,駆ける
leis-1,root-leis1.png,溝
ghrē-,root-ghre.png,成長する
ghrebh-2,root-ghrebh2.png,掘る
mai-1,root-mai1.png,刈る
(s)plei-,root-splei.png,分割
ansu-,root-ansu.png,霊
bassus,root-bassus.png,低い
bhedh-,root-bhedh.png,掘る
bhergh-1,root-bhergh1.png,隠す
bherək-,root-bherek.png,輝く
bhlāg-,root-bhlag.png,叩く
del-2,root-del2.png,数える
dheu-3,root-dheu3.png,死ぬ
dhregh-,root-dhregh.png,走る
el-2,root-el2.png,赤
eus-,root-eus.png,焦げる
gar-,root-gar.png,叫ぶ
gel-1,root-gel1.png,明るい
ghedh-,root-ghedh.png,集う
gheis-,root-gheis.png,恐怖・驚き
gheu(ə)-,root-gheue.png,祈る
gru-,root-gru.png,愚痴る
kal-2,root-kal2.png,美しい
kar-2,root-kar2.png,賞賛
kweit-,root-kweit.png,白い
leigh-,root-leigh.png,舐める
leup-,root-leup.png,剥がれる
līthrā,root-lithra.png,天秤
mē-3,root-me3.png,大
ongʷ-,root-ongw.png,清める
plumbum,root-plumbum.png,鉛
preus-,root-preus.png,凍る
seuə-1,root-seue1.png,産む
skelə-,root-skele.png,乾く
skipam,root-skipam.png,船
skot-,root-skot.png,影
slak-,root-slak.png,叩く
swo-,root-swo.png,そのような
tong-,root-tong.png,考える
welt-,root-welt.png,野生
weng-,root-weng.png,湾曲
wet-2,root-wet2.png,年
wīkm̥tī,root-wikmti.png,二十
yek-,root-yek.png,語る
āno-,root-ano.png,輪
deks-,root-deks.png,右
er-2,root-er2.png,地
ker-4,root-ker4.png,熱・火
meigh-,root-meigh.png,排尿する
Māwort-,root-mawort.png,マルス
skeubh-,root-skeubh.png,押す
(s)nē-,root-sne.png,紡ぐ
angelos,root-angelos.png,使者
ayes-,root-ayes.png,金属
bhars-2,root-bhars2.png,大麦
bhelg-,root-bhelg.png,梁
bhes-1,root-bhes1.png,摩擦
deu-1,root-deu1.png,欠く
dhabh-,root-dhabh.png,合う
dē-,root-de-2.png,縛る
egni-,root-egni.png,火
el-,root-el.png,肘
ferrum,root-ferrum.png,鉄
gʷel-,root-gwel.png,翼
gʷelə-2,root-gwele2.png,団栗
